"event_id","subject_id","cna_type","input_row","chrom","genomic_start","genomic_end","width_bp","exon_order","transcript_exon_rank","exon_id","exon_cds_start","exon_cds_end","overlap_start","overlap_end","coding_overlap_bp","exon_coding_fraction","passes_exon_overlap","coding_fraction","n_affected_exons","localization_class","complete_structural_mapping","structurally_localizable"
"CNA_event_000001","PAUVPA","HOMDEL",1,"9",21818601,22474300,655700,1,1,"ENSE00001833804",21974678,21974827,21974678,21974827,150,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000001","PAUVPA","HOMDEL",1,"9",21818601,22474300,655700,2,2,"ENSE00003496053",21970902,21971208,21970902,21971208,307,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000001","PAUVPA","HOMDEL",1,"9",21818601,22474300,655700,3,3,"ENSE00003529527",21968232,21968242,21968232,21968242,11,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000003","PASRSP","HOMDEL",3,"9",21876601,21981700,105100,1,1,"ENSE00001833804",21974678,21974827,21974678,21974827,150,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000003","PASRSP","HOMDEL",3,"9",21876601,21981700,105100,2,2,"ENSE00003496053",21970902,21971208,21970902,21971208,307,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000003","PASRSP","HOMDEL",3,"9",21876601,21981700,105100,3,3,"ENSE00003529527",21968232,21968242,21968232,21968242,11,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000004","PAWLCA","HOMDEL",4,"9",21850701,22159700,309000,1,1,"ENSE00001833804",21974678,21974827,21974678,21974827,150,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000004","PAWLCA","HOMDEL",4,"9",21850701,22159700,309000,2,2,"ENSE00003496053",21970902,21971208,21970902,21971208,307,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000004","PAWLCA","HOMDEL",4,"9",21850701,22159700,309000,3,3,"ENSE00003529527",21968232,21968242,21968232,21968242,11,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000005","PAWKKY","HOMDEL",5,"9",21961901,22039300,77400,1,1,"ENSE00001833804",21974678,21974827,21974678,21974827,150,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000005","PAWKKY","HOMDEL",5,"9",21961901,22039300,77400,2,2,"ENSE00003496053",21970902,21971208,21970902,21971208,307,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000005","PAWKKY","HOMDEL",5,"9",21961901,22039300,77400,3,3,"ENSE00003529527",21968232,21968242,21968232,21968242,11,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
"CNA_event_000006","PAWKAN","HOMDEL",6,"9",21929801,22089700,159900,1,1,"ENSE00001833804",21974678,21974827,21974678,21974827,150,1,TRUE,1,3,"whole_coding_sequence",TRUE,FALSE
