"gene_id","gene_name","transcript_id","protein_id","exon_id","exon_rank","chrom","strand","cds_genomic_start","cds_genomic_end","cds_length_nt","aa_start","aa_end","cds_ok","n_aa_touched","shared_with_previous_exon","shared_with_next_exon"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00001136349",1,"4","-",108167555,108167767,213,1,71,TRUE,71,,
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003638064",2,"4","-",108165097,108165163,67,72,94,TRUE,23,,"94"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003515141",3,"4","-",108163568,108163701,134,94,138,TRUE,45,"94",
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003558404",4,"4","-",108089125,108089257,133,139,183,TRUE,45,,"183"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003663409",5,"4","-",108083356,108083446,91,183,213,TRUE,31,"183","213"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003468993",6,"4","-",108081586,108081669,84,213,241,TRUE,29,"213","241"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003478404",7,"4","-",108079492,108079614,123,241,282,TRUE,42,"241","282"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003604670",8,"4","-",108078220,108078382,163,282,336,TRUE,55,"282",
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003651348",9,"4","-",108070663,108070770,108,337,372,TRUE,36,,
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003530344",10,"4","-",108064336,108064384,49,373,389,TRUE,17,,"389"
"ENSG00000138795","LEF1","ENST00000265165","ENSP00000265165","ENSE00003510092",11,"4","-",108063632,108063663,32,389,399,TRUE,11,"389",
