"ID","chrom","loc.start","loc.end","lsn.type","gene_overlap_start","gene_overlap_end","gene_overlap_bp","covers_complete_gene"
"PARFLD","4",108119001,108167400,"HETDEL",108119001,108167400,48399,FALSE
"PARJAY","4",108149501,108167300,"HETDEL",108149501,108167300,17799,FALSE
"PARJPL","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PARNXJ","4",108049201,108167300,"HETDEL",108049201,108167300,118099,FALSE
"PARPET","4",108119001,108167200,"HETDEL",108119001,108167200,48199,FALSE
"PARSLA","4",108101301,108141500,"HETDEL",108101301,108141500,40199,FALSE
"PARSNX","4",108101301,108167700,"HETDEL",108101301,108167700,66399,FALSE
"PARWNW","4",108050401,108119000,"HETDEL",108050401,108119000,68599,FALSE
"PARXDJ","4",108140601,108167200,"HETDEL",108140601,108167200,26599,FALSE
"PARXPZ","4",108061401,108167300,"HETDEL",108061401,108167300,105899,FALSE
"PASGDZ","4",108144901,108167300,"HETDEL",108144901,108167300,22399,FALSE
"PASGUH","4",108118901,108167100,"HETDEL",108118901,108167100,48199,FALSE
"PASILW","4",108167201,108354800,"HETDEL",108167201,108168956,1755,FALSE
"PASILW","4",108117101,108141200,"HETDEL",108117101,108141200,24099,FALSE
"PASINX","4",108121301,108351400,"HETDEL",108121301,108168956,47655,FALSE
"PASIPN","4",108160001,108164300,"HETDEL",108160001,108164300,4299,FALSE
"PASIPN","4",108164301,108167200,"HETDEL",108164301,108167200,2899,FALSE
"PASJGV","4",108140701,108167300,"HETDEL",108140701,108167300,26599,FALSE
"PASKAD","4",108031601,108095300,"HETDEL",108047545,108095300,47755,FALSE
"PASKLU","4",108087101,108157500,"HETDEL",108087101,108157500,70399,FALSE
"PASKWG","4",108029901,108095100,"HETDEL",108047545,108095100,47555,FALSE
"PASKXA","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PASLXY","4",108121001,108572100,"HETDEL",108121001,108168956,47955,FALSE
"PASPDS","4",108082801,108167200,"HETDEL",108082801,108167200,84399,FALSE
"PASPLG","4",108081001,108167400,"HETDEL",108081001,108167400,86399,FALSE
"PASPNW","4",108043201,108166300,"HETDEL",108047545,108166300,118755,FALSE
"PASRAF","4",108097801,108167200,"HETDEL",108097801,108167200,69399,FALSE
